Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Characteristics[sample description]	Characteristics[genotype]	Characteristics[phenotype]	Characteristics[sex]	Characteristics[organism part]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[NOMINAL_LENGTH]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_SDEV]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_LAYOUT]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Comment[Center]	Comment[FASTQ_URI]	Factor Value[phenotype]	Factor Value[sex]
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536488	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536488	sequencing assay	ERX536488	ERR578312_1	ERR578312	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578312/ERR578312_1.fastq.gz	Cancer	male
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536488	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536488	sequencing assay	ERX536488	ERR578312_2	ERR578312	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578312/ERR578312_2.fastq.gz	Cancer	male
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536572	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536572	sequencing assay	ERX536572	ERR578396_1	ERR578396	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578396/ERR578396_1.fastq.gz	Cancer	male
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536572	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536572	sequencing assay	ERX536572	ERR578396_2	ERR578396	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578396/ERR578396_2.fastq.gz	Cancer	male
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536586	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536586	sequencing assay	ERX536586	ERR578410_1	ERR578410	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578410/ERR578410_1.fastq.gz	Cancer	male
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536586	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536586	sequencing assay	ERX536586	ERR578410_2	ERR578410	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578410/ERR578410_2.fastq.gz	Cancer	male
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536600	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536600	sequencing assay	ERX536600	ERR578424_1	ERR578424	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578424/ERR578424_1.fastq.gz	Cancer	male
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536600	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536600	sequencing assay	ERX536600	ERR578424_2	ERR578424	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578424/ERR578424_2.fastq.gz	Cancer	male
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536614	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536614	sequencing assay	ERX536614	ERR578438_1	ERR578438	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578438/ERR578438_1.fastq.gz	Cancer	male
ERS422514	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_1e-sc-1883517	ERS422514	P-MTAB-40614	9739410_ERX536614	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536614	sequencing assay	ERX536614	ERR578438_2	ERR578438	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578438/ERR578438_2.fastq.gz	Cancer	male
ERS422515	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_2b-sc-1883518	ERS422515	P-MTAB-40614	9739411_ERX536489	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536489	sequencing assay	ERX536489	ERR578313_1	ERR578313	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578313/ERR578313_1.fastq.gz	Cancer	male
ERS422515	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_2b-sc-1883518	ERS422515	P-MTAB-40614	9739411_ERX536489	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536489	sequencing assay	ERX536489	ERR578313_2	ERR578313	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578313/ERR578313_2.fastq.gz	Cancer	male
ERS422515	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_2b-sc-1883518	ERS422515	P-MTAB-40614	9739411_ERX536573	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536573	sequencing assay	ERX536573	ERR578397_1	ERR578397	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578397/ERR578397_1.fastq.gz	Cancer	male
ERS422515	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_2b-sc-1883518	ERS422515	P-MTAB-40614	9739411_ERX536573	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536573	sequencing assay	ERX536573	ERR578397_2	ERR578397	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578397/ERR578397_2.fastq.gz	Cancer	male
ERS422515	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_2b-sc-1883518	ERS422515	P-MTAB-40614	9739411_ERX536587	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536587	sequencing assay	ERX536587	ERR578411_1	ERR578411	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578411/ERR578411_1.fastq.gz	Cancer	male
ERS422515	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_2b-sc-1883518	ERS422515	P-MTAB-40614	9739411_ERX536587	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536587	sequencing assay	ERX536587	ERR578411_2	ERR578411	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578411/ERR578411_2.fastq.gz	Cancer	male
ERS422515	Mus musculus	NCBI Taxonomy	10090	  	RNA from spleen	TelAML1/+, Pax5+/-	Cancer	male	Spleen	TAPJ23_2b-sc-1883518	ERS422515	P-MTAB-40614	9739411_ERX536601	550	cDNA	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-40613	SC	ERX536601	sequencing assay	ERX536601	ERR578425_1	ERR578425	SC	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR578/ERR578425/ERR578425_1.fastq.gz	Cancer	male
